instance_id,k,n_vars,n_clauses,satisfiability,clauses
0,2,100,80,SAT,"[[8, 23], [-52, -65], [84, -44], [-92, 41], [-10, 67], [85, 2], [-47, -10], [-16, 1], [77, -100], [59, -54], [80, -8], [3, 76], [-57, -95], [-47, 88], [77, 75], [38, -59], [30, 3], [-84, 26], [23, 76], [95, 36], [-54, 67], [18, -99], [-75, -95], [38, -34], [-76, -48], [60, 42], [85, 95], [-44, -28], [-20, -52], [-88, 39], [-73, 24], [10, 42], [-94, -86], [-92, 28], [16, -81], [92, -16], [-98, 76], [-99, 51], [61, 97], [11, 71], [41, 12], [98, -8], [-26, 77], [-34, 8], [-34, 46], [-32, 61], [-76, -54], [-84, -32], [-85, -81], [-9, -15], [-45, 2], [-15, 99], [31, 74], [-68, -93], [6, -69], [7, -37], [19, -82], [-22, -75], [60, -86], [22, -78], [30, -4], [2, 64], [31, -8], [-57, 52], [-24, 18], [74, 38], [11, -5], [-5, -46], [24, 71], [29, 2], [-53, -16], [65, 90], [68, 48], [-57, -38], [-7, 73], [62, -45], [-28, -51], [-64, -49], [-17, 22], [16, 24]]"
1,2,100,80,SAT,"[[12, 97], [80, 54], [-50, -78], [14, 36], [-65, 8], [-96, -97], [20, -58], [90, 99], [84, -92], [-58, -55], [12, 44], [97, 12], [23, 37], [-90, 18], [50, 83], [-74, -51], [38, -84], [1, 66], [87, 28], [98, 12], [-4, 57], [-27, -98], [95, 7], [-55, 74], [49, -50], [-62, 38], [16, -90], [19, -92], [25, -1], [-64, 17], [-12, -11], [-54, -40], [91, -66], [-14, 75], [-94, -95], [-51, 32], [61, -59], [3, -89], [-94, -74], [93, 81], [90, 10], [-85, 9], [-90, -31], [2, 68], [99, 73], [80, -59], [-35, -26], [6, -81], [36, 9], [22, -73], [-80, 47], [-46, 71], [90, -27], [-59, 24], [36, -95], [2, -86], [-16, -50], [24, -75], [27, -76], [-32, -21], [-43, -61], [-39, -32], [-83, -80], [-82, 73], [32, -89], [32, 83], [-62, -41], [41, -66], [30, 18], [-16, 39], [96, -70], [56, 66], [-31, -37], [-1, 65], [-70, 54], [31, 5], [-21, 78], [44, -57], [-36, -99], [-60, -44]]"
2,2,100,80,SAT,"[[92, -7], [62, -5], [79, -5], [-56, 47], [-70, -65], [-76, -33], [-7, 4], [28, -42], [89, -32], [-2, 56], [-71, -73], [-45, -78], [-51, -74], [61, -95], [33, -49], [91, 52], [41, 39], [-41, -76], [76, -65], [-76, 60], [-81, 96], [60, -21], [8, 36], [-41, 32], [-88, -93], [3, -81], [-34, -1], [-13, -83], [-31, 62], [-89, -36], [6, -91], [-62, -69], [-50, 79], [26, -77], [32, 6], [83, 70], [2, -76], [-95, 32], [8, -21], [-12, 94], [-79, 63], [-24, 85], [33, -95], [-87, 36], [30, 100], [-59, 37], [81, -4], [-70, -71], [99, -59], [93, -85], [-49, 38], [-14, 69], [-75, 67], [1, 35], [-53, 69], [14, -34], [74, 61], [20, 20], [-55, -92], [-98, -81], [70, 52], [-82, -34], [20, 73], [-12, -41], [95, 23], [-70, -60], [-65, 36], [34, -47], [55, 51], [-42, -73], [46, 7], [-71, 29], [-70, 70], [34, 69], [100, -4], [-14, -4], [-100, 52], [-78, -15], [-49, 2], [87, 19]]"
3,2,100,80,SAT,"[[59, 38], [33, 96], [83, 89], [-18, -4], [-31, 80], [31, 77], [67, 36], [26, 37], [-80, -65], [-33, 77], [-85, -72], [70, 45], [75, -94], [-50, 47], [-69, -2], [28, -74], [13, 21], [64, 20], [-35, -37], [2, 83], [40, -69], [50, 66], [-37, 76], [77, -10], [64, 22], [31, -99], [63, 45], [-34, -13], [47, -80], [-98, -71], [-52, -88], [-12, -20], [-57, 19], [2, 72], [-2, -49], [-40, -50], [75, 45], [-1, -4], [-23, 1], [-97, 15], [-8, -13], [-30, -96], [6, -72], [31, 94], [100, -38], [-40, 68], [17, 59], [-96, -93], [26, 31], [8, 15], [61, -46], [71, 18], [-27, 84], [84, -1], [-45, -93], [-63, -63], [21, 65], [5, -89], [-96, -9], [70, -43], [85, -72], [96, -50], [61, -95], [-78, -11], [48, 35], [-51, 49], [-90, -20], [-5, 38], [53, 62], [63, -3], [-20, -84], [-72, -48], [16, 40], [36, 47], [-87, 67], [49, 90], [-69, 65], [-94, -26], [49, 39], [67, -39]]"
4,2,100,80,SAT,"[[31, 42], [98, -40], [-89, 49], [-67, -23], [-64, -71], [38, -19], [68, 83], [-72, 26], [4, 92], [65, 4], [-25, -8], [10, -58], [-39, 40], [91, -97], [64, 30], [69, 96], [78, 30], [55, 13], [53, 98], [-94, -41], [-77, 31], [6, 79], [57, 99], [-71, 30], [-73, -63], [96, -46], [56, -92], [-21, 61], [-65, -67], [-99, 70], [55, 89], [-100, -10], [-80, -78], [-29, -100], [36, 55], [-50, -7], [-51, -7], [-49, 85], [29, -43], [48, -7], [-12, -43], [54, -23], [100, -53], [18, 60], [-51, -68], [48, -84], [-72, 11], [62, 47], [-10, -70], [-96, 17], [-3, 22], [-37, -77], [-76, -61], [-26, -42], [37, 85], [-63, 67], [21, 98], [50, 59], [48, 48], [-55, -3], [-16, -47], [80, -84], [-77, -26], [54, -35], [-43, 66], [41, 78], [-48, 81], [-79, 96], [64, -5], [20, 30], [-51, -88], [-17, 41], [82, -52], [20, -5], [46, -7], [94, -48], [-7, -52], [41, -40], [-22, -52], [-49, -40]]"
5,2,100,80,SAT,"[[-19, 85], [-100, -5], [23, 76], [83, 25], [-8, 10], [-61, 8], [80, -51], [-46, 25], [18, -100], [-90, 78], [15, 85], [-6, -42], [-15, -34], [-98, 9], [-52, -51], [-64, 24], [87, -95], [-7, -52], [-74, 78], [72, 72], [-99, -48], [20, 94], [40, 34], [-93, -55], [-70, 1], [56, -73], [-54, 44], [-66, 71], [63, 70], [76, 37], [3, 8], [2, -38], [35, 18], [-3, 69], [-28, 45], [-58, 43], [56, 76], [-28, 36], [98, 32], [-82, -4], [44, -15], [26, -40], [-79, 48], [6, 65], [80, -65], [-60, 49], [71, 57], [83, -58], [50, 15], [85, -74], [-82, -47], [93, 11], [-59, -46], [-80, -46], [24, 48], [-9, 11], [-17, -64], [4, 82], [79, 15], [-73, 59], [-15, -21], [24, 39], [-80, -63], [98, 51], [47, 66], [-40, -31], [-26, 30], [35, -22], [18, -59], [-94, -59], [81, 49], [-65, 76], [49, -80], [-86, -57], [17, 17], [47, 33], [42, 51], [32, -4], [19, -87], [42, -90]]"
6,2,100,80,SAT,"[[77, -92], [30, -97], [100, -34], [65, -51], [14, -77], [-86, 31], [68, 41], [-59, 27], [-46, -35], [-3, -71], [48, 2], [-27, -37], [-72, -66], [84, 88], [-27, 5], [-35, -56], [-100, -29], [-30, 52], [83, 24], [92, -7], [-50, -22], [77, -18], [-99, 57], [62, -4], [56, -44], [2, 10], [56, 94], [55, 52], [-33, -17], [-90, 2], [-87, -45], [53, 47], [-95, 76], [-77, 66], [27, -3], [-46, -46], [54, 56], [58, -48], [-57, -31], [-100, -88], [-50, -88], [-20, 6], [8, -76], [-93, -66], [-70, -95], [-100, -79], [49, -77], [96, 12], [-82, 1], [76, -52], [-42, -60], [-59, -29], [-68, -59], [62, -48], [-16, 27], [39, 84], [45, 42], [33, -70], [29, -29], [-55, -3], [-13, -99], [11, 11], [-81, -24], [-26, -67], [71, -62], [-4, -68], [91, -99], [-93, -98], [25, -16], [60, -70], [-23, -66], [-47, 40], [-53, -38], [-62, -82], [76, -98], [17, 70], [40, -36], [-75, 33], [-17, 48], [-95, -2]]"
7,2,100,80,SAT,"[[-7, -75], [77, -85], [-36, -58], [50, 74], [-23, -43], [77, 23], [20, -87], [37, -89], [44, 68], [-17, -13], [-66, 23], [-39, 94], [90, 37], [17, -32], [-41, 25], [-39, -89], [-25, 19], [-68, -34], [-74, 86], [-26, 47], [-38, 74], [-98, -45], [-37, 13], [-81, -34], [89, -47], [-96, -77], [-77, -11], [75, 39], [-34, -75], [57, -87], [55, -23], [-92, 93], [-61, 11], [60, -26], [-60, -92], [-73, -64], [70, -29], [-64, -72], [-67, -2], [60, -94], [78, -13], [35, -75], [-87, 41], [-69, -71], [-7, 22], [-65, -36], [-51, 44], [-50, -86], [27, -61], [-10, 8], [36, -60], [49, -16], [11, -76], [-43, 22], [91, -33], [49, -30], [93, 67], [18, 1], [-28, -51], [-94, -47], [-5, -33], [-54, 18], [91, -53], [-82, 60], [9, -96], [49, -83], [58, -29], [-94, 88], [-61, 24], [5, 1], [98, -26], [68, 68], [25, 100], [-75, -65], [31, 5], [25, 51], [17, -20], [-36, -40], [-74, -32], [-66, -61]]"
8,2,100,80,SAT,"[[10, -33], [-96, 39], [-7, -93], [-26, -100], [16, -71], [35, -49], [78, 58], [-57, -61], [-11, 84], [-85, -35], [-42, -88], [19, -93], [-16, -97], [69, -38], [75, 23], [8, -100], [-90, 76], [44, 60], [48, 64], [94, 24], [-54, -15], [-15, -62], [6, -22], [-59, 17], [-54, -87], [45, 59], [49, -50], [-73, -50], [62, 43], [-49, -82], [-51, -40], [38, 5], [16, 76], [97, 24], [61, 43], [32, 69], [-17, -54], [-61, -35], [30, -31], [96, -25], [-24, -69], [-66, -12], [-59, 28], [62, -85], [2, 76], [76, 5], [-13, -62], [30, 9], [-12, -22], [93, 5], [-60, -65], [36, 44], [70, 15], [30, 47], [-88, 38], [70, 45], [29, -24], [-22, 96], [-4, 24], [-53, -89], [92, 1], [54, 86], [46, 66], [83, 9], [-29, 35], [67, -96], [-7, 3], [60, 65], [-68, 18], [-5, -21], [17, -95], [-72, -98], [63, 12], [34, 91], [21, -78], [-12, 24], [66, 87], [-19, 62], [-97, -52], [37, -96]]"
9,2,100,80,SAT,"[[59, 91], [-34, 60], [43, 45], [18, 65], [-75, -90], [68, 50], [-15, 63], [-25, -67], [71, -37], [79, 52], [-88, -29], [17, 38], [22, -18], [21, 59], [-81, -7], [34, -17], [51, 43], [-54, -17], [-94, 32], [-100, 53], [-29, -68], [48, -96], [5, 8], [-83, 65], [-65, -49], [32, 62], [66, -26], [87, 92], [-69, 2], [-34, -57], [87, -84], [85, 12], [84, 63], [-38, 82], [48, -52], [71, -18], [-46, 66], [-12, 81], [-37, -71], [73, -100], [-17, 62], [-26, -43], [-57, -31], [26, -21], [83, 18], [52, 75], [-10, -8], [-37, -2], [97, -78], [-44, -16], [86, 26], [41, 26], [-52, -28], [-60, 93], [-48, 55], [-69, -6], [80, -82], [94, -43], [-26, -23], [53, -61], [77, 43], [5, -27], [36, -48], [87, -18], [-84, -95], [13, -75], [-23, -83], [93, 89], [-89, 92], [25, -42], [72, 8], [54, 7], [49, -88], [65, 44], [-29, 30], [99, 7], [-38, -76], [32, 92], [-16, -36], [-38, -22]]"
