instance_id,k,n_vars,n_clauses,satisfiability,clauses
0,2,100,120,UNSAT,"[[-36, 50], [21, 68], [59, 54], [-8, -96], [-46, 84], [-60, -23], [-9, 11], [90, -100], [-16, 60], [27, -8], [-22, 51], [43, -28], [-92, -54], [-80, -22], [-3, 9], [83, -63], [5, -58], [19, 18], [46, 43], [30, 14], [-40, -80], [-79, -54], [-76, -35], [-14, 56], [-56, -46], [43, -78], [96, 59], [45, -75], [-56, -28], [-39, -85], [-86, -27], [15, -72], [-43, -75], [-90, 72], [-25, 69], [-25, -7], [76, -45], [-4, -59], [71, 50], [17, 72], [23, -96], [74, -50], [60, 30], [7, 68], [-31, -8], [-62, 39], [-21, -98], [31, 4], [-76, -5], [89, 12], [78, -15], [7, -50], [37, -13], [12, 75], [-59, -32], [88, 80], [-86, -69], [46, -24], [-27, 1], [-38, -37], [-17, 33], [61, -20], [45, -32], [-68, 86], [45, 27], [-3, -48], [27, -36], [-37, -42], [40, 42], [-1, 68], [-56, -27], [23, -100], [83, 22], [-42, -46], [76, 75], [91, -77], [45, -84], [57, -62], [72, 74], [83, -12], [38, 75], [52, -24], [-48, 59], [73, -79], [-19, -72], [56, 31], [70, 77], [55, -34], [83, -79], [-32, 25], [-75, 6], [39, -51], [57, -83], [-47, -23], [79, -100], [27, 99], [-82, 89], [10, -57], [39, -50], [-31, 63], [80, 7], [-87, 44], [-13, 9], [-46, -37], [59, 90], [-93, 8], [-48, 27], [-6, -25], [-93, 47], [13, -3], [-88, -10], [-81, 72], [-11, 15], [-99, 61], [-80, 89], [32, 27], [44, -35], [73, -100], [35, -42], [-50, 13]]"
1,2,100,120,SAT,"[[58, 24], [43, -34], [58, -33], [-43, 42], [28, 44], [-44, 56], [-39, 19], [86, 79], [53, 15], [-85, 2], [-67, -69], [59, -29], [-4, 49], [-22, 52], [-4, 44], [-28, -80], [8, 38], [-20, 74], [100, 68], [21, -84], [-70, 6], [-73, 90], [-76, -96], [-29, 58], [86, -71], [43, -36], [-30, -97], [-68, 67], [28, 43], [-23, 13], [-88, 91], [-49, 28], [-68, -87], [35, 48], [88, 54], [-66, -43], [75, -39], [-9, 23], [-89, -35], [78, -45], [91, 83], [-10, -78], [97, 3], [29, -21], [-99, 73], [42, -61], [76, -5], [48, 92], [58, -20], [16, -100], [-15, 100], [67, -48], [-63, -8], [17, -19], [-81, 44], [71, -19], [-68, -89], [-69, 1], [87, 100], [-76, 34], [65, -5], [-61, 85], [23, -13], [-60, 53], [2, 18], [-67, -59], [59, -68], [-51, -3], [4, -71], [-3, -11], [-25, 89], [-81, -21], [-69, -93], [65, -65], [-32, -59], [-39, 76], [-71, -13], [-47, 36], [-32, -35], [6, 65], [-64, -79], [-26, -63], [58, -82], [-3, 31], [98, -45], [-32, 71], [-73, 21], [-89, -11], [88, 8], [7, -97], [-18, 53], [-11, 94], [88, 23], [85, -39], [-38, 7], [23, -13], [-56, -65], [-35, -8], [-86, 29], [100, 22], [11, -85], [-38, 1], [33, -72], [5, 93], [15, 55], [69, 71], [38, 17], [-77, -62], [-69, -68], [81, 96], [85, 38], [-44, 88], [-98, -22], [74, -26], [96, 70], [53, 26], [11, 84], [4, -77], [-19, 49], [-21, -68]]"
2,2,100,120,UNSAT,"[[17, 99], [-82, 83], [40, -60], [-17, 55], [-33, -8], [61, -21], [-68, -67], [37, -75], [-62, 24], [-86, 88], [95, -19], [47, -9], [-44, 18], [19, -34], [-50, 77], [5, 16], [-40, 62], [-4, -1], [20, 81], [81, 28], [-96, 9], [35, 75], [35, 32], [32, -33], [-77, 78], [-92, -19], [-62, -93], [42, 72], [-97, 81], [3, -33], [34, -49], [-60, -54], [87, -53], [56, -73], [-28, -93], [-11, 1], [93, 93], [-8, -72], [-69, -80], [21, -13], [97, 89], [23, 65], [49, -95], [43, -72], [-85, 60], [33, 97], [71, -74], [-58, 65], [-46, -77], [-63, 95], [19, 6], [-63, -21], [-86, -60], [53, -25], [46, -9], [20, -64], [-41, 60], [-96, -96], [-69, -56], [58, -15], [-74, -37], [51, -77], [-87, 27], [32, 19], [93, -65], [-14, -98], [-29, -72], [76, 76], [-37, 46], [32, -5], [-28, 68], [79, -40], [83, 15], [45, -84], [58, 24], [-82, -94], [68, -44], [81, 68], [-33, -89], [-31, -36], [-79, 17], [63, -95], [-77, 70], [24, 37], [-40, 66], [68, 29], [25, -78], [-3, -28], [100, 39], [-94, 28], [-83, -28], [39, 89], [93, 87], [-1, -6], [95, -3], [-32, 95], [72, -71], [55, 28], [13, 13], [-7, 43], [50, 46], [-9, 57], [-95, 35], [-18, 42], [-58, 55], [61, -60], [99, -93], [72, 65], [-56, 62], [-37, -12], [18, 65], [50, -63], [-88, -92], [-20, -35], [-34, -11], [-23, 82], [22, 83], [85, -6], [23, 53], [-66, -82]]"
3,2,100,120,UNSAT,"[[75, 57], [10, -89], [76, 25], [88, 8], [-47, -57], [41, -69], [-77, 39], [-88, -12], [19, 17], [-86, 92], [-14, -68], [76, 20], [-26, 78], [22, -56], [70, 57], [49, 86], [-39, 77], [-43, -65], [72, -17], [-54, 35], [-34, -21], [-99, -41], [16, -67], [87, -99], [-99, 5], [-42, -89], [77, -25], [82, -73], [-36, 27], [-69, -5], [-21, 74], [91, 42], [-94, -96], [33, -26], [50, 81], [76, -56], [36, -77], [73, -97], [36, 46], [-21, 98], [51, 23], [73, 24], [-67, 66], [-38, 70], [100, 90], [-83, -72], [-86, -70], [21, 50], [-45, -70], [85, 61], [38, -82], [-55, -90], [24, -27], [-9, 63], [98, 48], [-93, 17], [93, -34], [79, -52], [47, 96], [-19, -2], [-62, 71], [86, -9], [76, 97], [99, -27], [-33, 13], [-89, -86], [82, 28], [31, -18], [93, 4], [-51, -85], [-8, 54], [58, -43], [85, 9], [38, -64], [-70, -71], [51, 60], [67, 88], [-82, -3], [2, 37], [98, 26], [41, 21], [44, -97], [-24, -24], [-5, 39], [24, 49], [-33, -40], [99, 75], [-73, -23], [-24, -71], [-94, -34], [6, 58], [-86, 66], [-54, -31], [66, 1], [-73, -60], [-78, -65], [-56, 26], [73, -12], [85, -74], [-9, 38], [63, 10], [33, -69], [-2, -54], [-30, -97], [-14, -54], [17, -95], [-90, 91], [-61, 69], [-2, -71], [58, -11], [-27, -51], [81, 99], [-99, 38], [48, -63], [-98, -54], [-78, 90], [79, -24], [-86, -91], [-64, -33], [12, 50]]"
4,2,100,120,UNSAT,"[[-39, -61], [98, 68], [29, 60], [-9, -86], [-70, -23], [8, -97], [-34, -68], [-22, -3], [90, -59], [-74, -38], [-19, 92], [-88, -87], [-91, -13], [-36, -99], [-20, 82], [21, 74], [-63, 47], [-9, -72], [-13, 86], [-99, 64], [-12, -39], [28, 40], [72, -82], [-10, -14], [-48, -34], [62, 87], [-84, -62], [-93, -97], [36, 40], [5, -27], [-30, -5], [42, 41], [21, -35], [40, -6], [-95, -76], [-22, 79], [57, 24], [-91, -49], [5, 87], [63, 76], [-16, -17], [99, -89], [-35, -63], [45, -41], [28, 32], [-34, 82], [97, -40], [-84, 38], [-1, 97], [11, 79], [69, 17], [8, -69], [31, 97], [-57, -86], [-92, -42], [29, -5], [8, -42], [-7, -98], [-72, 37], [-5, -94], [-92, 20], [60, -18], [28, -87], [-39, 56], [73, -60], [-26, -10], [-76, 94], [-58, 33], [92, -24], [2, 4], [7, -98], [-16, -18], [-71, -29], [58, 97], [-93, -84], [-89, 72], [-91, 74], [-16, 88], [-42, 47], [48, 97], [-57, 9], [-87, -26], [-30, 46], [31, -29], [94, -99], [66, 26], [-3, 20], [6, -42], [52, -15], [-12, 89], [-21, 3], [-94, -6], [-53, -44], [-74, -82], [-92, 37], [6, -21], [32, 98], [-57, 42], [-72, -87], [90, 78], [4, -69], [-46, -32], [29, -10], [18, 75], [13, 52], [19, 80], [3, 20], [-91, 94], [45, 42], [-27, -4], [85, -26], [-60, 30], [18, -5], [85, 81], [-21, -89], [45, 35], [-5, 16], [42, 85], [32, -89], [43, -86]]"
5,2,100,120,SAT,"[[29, 62], [20, -23], [-9, -7], [-66, -74], [-7, -95], [-5, -64], [52, -17], [17, -34], [-6, 93], [-91, 76], [86, -66], [-66, 7], [90, 25], [18, -39], [-15, 38], [12, 15], [72, 93], [-74, -13], [53, -95], [-61, 75], [-49, 32], [-48, -63], [-47, 4], [-39, -73], [-63, 99], [-42, -24], [81, 47], [-26, -44], [-2, 12], [-81, 70], [33, 30], [-44, 82], [76, 51], [14, -72], [-72, 93], [48, -64], [33, 18], [92, -68], [-27, 25], [89, 19], [38, 47], [-8, 3], [85, 54], [-49, -38], [16, -85], [-52, -63], [-60, -92], [-20, 28], [-54, -12], [4, -28], [-71, 85], [14, -70], [-89, -5], [-67, -92], [90, -31], [45, -47], [-75, -39], [-66, -7], [3, 44], [-38, -78], [2, -54], [65, 19], [53, -60], [52, 48], [-47, -39], [-9, 91], [-29, -1], [62, -50], [-95, -67], [-94, -5], [-89, 48], [72, 12], [-16, 100], [-13, 70], [-73, 97], [30, 82], [-80, 20], [82, -95], [-68, 99], [23, -38], [-96, -59], [-81, -75], [89, -27], [40, -95], [25, 78], [-16, 33], [-80, -7], [13, -79], [68, 81], [-76, -52], [-50, 71], [11, -100], [13, -57], [10, 90], [60, -44], [-33, 19], [-18, -17], [21, 47], [-89, -57], [-23, -29], [69, -25], [-92, -50], [-12, 13], [80, 49], [36, -24], [-13, 27], [48, 77], [67, -37], [43, 71], [-64, -39], [53, 13], [56, -70], [-18, 55], [-56, -44], [22, -19], [-15, 2], [-35, -65], [84, 8], [-82, 81], [54, -57]]"
6,2,100,120,SAT,"[[53, -27], [79, 80], [43, 65], [82, -38], [-75, -63], [23, 31], [35, 49], [50, -30], [-8, -73], [46, 93], [-20, -50], [82, 61], [-23, 68], [-36, 76], [73, -72], [17, 12], [63, -40], [-63, -99], [43, -100], [2, 79], [45, 31], [-94, -63], [-12, 39], [-58, -19], [-79, 74], [79, 57], [49, 72], [87, -36], [96, 2], [-63, -30], [-2, -99], [-70, -13], [-83, 67], [78, 59], [99, 58], [4, -28], [-63, 48], [41, -41], [-69, -26], [37, 45], [100, -78], [-38, 35], [100, -10], [-42, -95], [75, -22], [-77, 55], [-41, 98], [-2, 34], [16, -20], [-86, 50], [-8, -23], [-49, 61], [37, 68], [82, 44], [41, -45], [-76, -20], [40, 18], [48, -24], [-56, -83], [31, -29], [-42, -52], [-92, 83], [72, -63], [9, -51], [8, -91], [-10, -47], [89, 32], [57, -24], [85, -2], [1, -41], [-33, -77], [80, -18], [-100, 61], [16, 42], [-3, -52], [35, -88], [-99, -82], [-41, -16], [-14, -29], [-92, -8], [-11, 82], [23, 36], [53, 14], [-42, -27], [-16, -12], [-39, 44], [64, 84], [-79, 7], [48, -85], [-95, 61], [93, 19], [37, 19], [37, 82], [77, -22], [38, -64], [-46, 22], [-83, -62], [-74, -84], [24, -70], [-57, -59], [-53, -77], [25, -20], [71, -21], [42, 4], [-89, -96], [34, -44], [-71, 52], [-10, 44], [39, -67], [97, 55], [93, 2], [-55, 23], [-18, -68], [-100, 32], [93, 83], [-61, -80], [-70, 58], [-15, -78], [89, -41], [64, -7]]"
7,2,100,120,SAT,"[[-94, 41], [20, 64], [-78, -48], [87, -29], [-4, -65], [90, 80], [-13, 45], [-33, 19], [-3, -53], [49, -95], [46, 38], [-96, 45], [65, 42], [61, -45], [-71, -45], [-84, 22], [-84, 82], [-72, -80], [-90, -91], [36, -61], [9, 66], [-3, 26], [7, -29], [32, 36], [-76, 80], [-100, 61], [34, -92], [46, 42], [34, -60], [-35, -77], [-95, 50], [48, 7], [-83, 22], [56, 97], [-58, -96], [37, 89], [56, -41], [88, -51], [-55, 58], [42, -2], [-98, 74], [91, -79], [-86, 39], [13, 11], [-87, 62], [-23, 96], [-37, 52], [26, -25], [-86, -14], [63, 6], [-74, 61], [-5, -25], [-88, 94], [-17, -71], [90, -33], [-6, -27], [69, 78], [12, 7], [-9, 45], [100, 70], [73, 18], [75, 93], [84, 47], [38, 30], [69, -10], [57, -36], [97, 6], [53, 30], [-7, 37], [-24, -95], [-57, -15], [42, -16], [-94, 7], [42, 57], [50, 59], [-92, 20], [-6, -90], [14, 93], [-79, -50], [-6, 85], [-50, 88], [15, -77], [-78, 52], [1, -3], [-91, 86], [94, 95], [72, -90], [-41, -46], [29, -56], [12, -16], [76, -86], [6, -11], [-55, 80], [91, 1], [-50, -6], [-35, 88], [87, 94], [4, 83], [5, -91], [-39, -68], [54, 11], [-79, 16], [-74, -42], [-98, -69], [38, -77], [-77, 16], [27, -60], [38, -16], [92, -88], [8, 45], [-57, -7], [8, 90], [14, 58], [-62, 5], [97, -78], [-25, -16], [87, -7], [23, -49], [74, 68], [-49, 79]]"
8,2,100,120,SAT,"[[-95, -26], [32, 53], [-57, -64], [-9, 18], [-70, -3], [-11, -5], [-77, 37], [97, 59], [25, -28], [77, 37], [-71, -76], [-72, 18], [-85, -21], [89, 17], [27, -98], [-12, 79], [-93, -51], [88, -29], [87, 70], [-60, 90], [-97, 58], [-23, -96], [20, 75], [-82, 69], [13, -5], [-42, -9], [-92, 12], [-13, -17], [46, -13], [11, -39], [-1, -29], [74, -38], [25, 36], [-4, -46], [-7, -51], [53, 55], [51, 61], [37, -5], [-73, 30], [31, -12], [-20, -80], [-7, 22], [-5, 37], [-59, 89], [32, -60], [-6, 49], [77, 94], [86, 12], [99, 62], [-85, 71], [-90, 94], [-10, 100], [74, 2], [38, -17], [86, 24], [-42, 35], [50, -83], [-89, -16], [3, 59], [-32, 8], [-60, 87], [-52, -60], [10, -6], [20, -76], [-35, -47], [56, 82], [38, 78], [-10, 28], [74, 63], [68, 82], [-42, 65], [7, -30], [51, 11], [-96, -45], [90, 58], [64, -77], [28, 38], [-20, 63], [66, -54], [49, 79], [1, -86], [57, 80], [93, 48], [22, 76], [-97, -99], [28, -86], [-74, 22], [39, 82], [51, 94], [-29, -67], [85, 16], [-10, 4], [82, 96], [86, -48], [20, -66], [-39, -35], [36, -98], [-6, -64], [84, 30], [-45, -13], [-92, -79], [74, -46], [-10, -47], [43, -24], [-9, -47], [31, 20], [16, -44], [-47, -10], [82, 96], [63, -19], [-14, 27], [-46, 31], [-97, 75], [-18, -98], [18, -47], [-66, -22], [98, 52], [-71, -13], [98, 56], [-51, 77]]"
9,2,100,120,SAT,"[[-28, -76], [56, 24], [-56, 33], [58, -90], [19, 38], [29, 36], [-11, 47], [1, -32], [81, 2], [-17, -42], [51, -45], [-48, -35], [57, 38], [54, 38], [62, -10], [17, 33], [-17, -4], [-74, -11], [50, -99], [43, 22], [-36, 33], [85, 82], [-78, 61], [-34, -65], [51, -23], [22, 42], [-86, 62], [-2, -78], [25, -92], [45, 32], [54, -34], [-35, -58], [50, 16], [51, -7], [63, -80], [57, 54], [-35, -81], [25, 46], [71, 55], [-21, 83], [-88, 22], [-85, 27], [-20, 55], [98, 51], [-77, 54], [-60, -92], [-39, -77], [39, 21], [76, -70], [44, -4], [-15, 11], [94, -63], [16, -44], [56, 85], [84, 30], [72, 26], [28, 7], [-90, 38], [-63, 57], [-27, 27], [69, 87], [41, -30], [88, 9], [95, -59], [37, -59], [44, 12], [20, -69], [48, -7], [99, -35], [16, 73], [10, -26], [-47, 45], [-12, -31], [-36, 25], [93, -50], [55, 45], [-35, -71], [-37, 82], [49, -70], [-39, -75], [43, 89], [68, -5], [-34, -4], [-73, 65], [93, 4], [-5, 88], [-12, 39], [-94, -88], [-39, 41], [8, 1], [27, 59], [58, 57], [-16, -9], [-23, 90], [31, -50], [35, -45], [24, -81], [48, 12], [57, 23], [-14, 90], [40, 56], [-45, -29], [43, 41], [-18, 63], [72, 19], [87, 92], [-62, 73], [54, -50], [-8, -68], [37, -87], [-73, -27], [93, -84], [-23, -76], [-81, 44], [90, -5], [25, 55], [16, -51], [72, -90], [85, -51], [-50, -66]]"
