instance_id,k,n_vars,n_clauses,satisfiability,clauses
0,2,50,100,UNSAT,"[[-25, -19], [-35, -29], [-36, -43], [6, 45], [-43, 13], [46, -3], [44, 29], [45, 9], [-5, -25], [8, 37], [44, 47], [-2, -34], [-36, 39], [-35, 44], [5, 10], [-19, 19], [-28, 49], [17, 9], [36, 28], [11, 37], [-40, -20], [-41, 9], [-12, 1], [-47, -2], [-30, 30], [20, 9], [-11, 39], [-11, 33], [-9, -46], [-18, -42], [-31, 3], [-2, 8], [40, -25], [6, 19], [-10, 19], [-27, 36], [-25, 43], [5, -14], [17, -22], [48, 1], [35, -18], [33, -4], [18, 17], [-22, 21], [49, 38], [30, -30], [-29, 24], [-36, 35], [19, -26], [-14, -12], [14, 41], [27, -43], [34, 16], [-47, -43], [-50, 20], [32, 6], [-27, -41], [13, 32], [14, -13], [-37, 23], [50, 36], [-44, -41], [25, -40], [13, 29], [-3, -46], [18, 9], [-30, -7], [12, 5], [-33, -41], [44, -44], [-45, -15], [2, 30], [41, 32], [-47, 40], [47, 7], [-12, -18], [-19, 3], [-19, 4], [42, 37], [-16, -6], [-6, 26], [50, 23], [-12, 8], [29, -42], [34, 2], [37, 16], [-34, -31], [-50, -22], [-42, 23], [18, 9], [24, 6], [2, -11], [43, 5], [-21, 37], [48, -6], [-5, 50], [-8, -50], [49, -1], [-16, -9], [-36, 40]]"
1,2,50,100,UNSAT,"[[-46, -18], [25, -45], [-43, -47], [-18, 50], [32, -37], [-6, -11], [40, -42], [-8, 19], [-33, -5], [-6, -40], [-46, -42], [24, -14], [47, -45], [21, -13], [11, 46], [-16, 46], [-27, -5], [28, 39], [31, 31], [10, -33], [-32, -35], [35, -41], [-37, -35], [12, 49], [9, 20], [21, -40], [49, -35], [2, -35], [29, 16], [15, -23], [35, -3], [7, -23], [-12, -19], [2, 14], [-3, -3], [-10, 36], [-40, -41], [-11, 6], [42, 6], [19, 25], [40, 33], [50, 29], [35, 36], [28, -33], [-50, -29], [-35, 41], [27, 3], [-12, -44], [38, -17], [-47, 7], [11, 2], [-12, -45], [-33, 27], [-10, -19], [-46, 32], [45, -36], [-6, -21], [7, -30], [21, 21], [10, -36], [-20, 50], [30, 35], [5, -1], [-45, -24], [-22, -37], [25, 49], [-44, -26], [49, 6], [-40, 28], [26, 25], [-11, 22], [43, 36], [49, -5], [3, 12], [-33, 12], [-50, -36], [40, -37], [3, 23], [38, 19], [11, -37], [-12, 18], [-41, 40], [-6, 33], [37, -41], [35, -37], [-26, 16], [12, -23], [-29, 19], [19, -1], [12, -49], [13, -4], [-4, 41], [-7, -33], [13, -40], [-49, -2], [-29, -19], [-36, 28], [-39, 23], [33, 2], [28, 2]]"
2,2,50,100,UNSAT,"[[10, -15], [18, 16], [34, -47], [40, 7], [41, 42], [-11, 9], [32, -48], [46, -31], [47, 36], [-25, 14], [-25, 47], [2, 37], [16, -38], [-14, 11], [-13, -48], [-3, -42], [28, -40], [8, 1], [11, 19], [29, 30], [34, -18], [29, 30], [-37, -33], [-42, -7], [33, 23], [22, 42], [-30, -4], [8, -16], [-21, 20], [45, 33], [-33, 42], [43, 2], [36, -17], [14, 8], [3, 47], [2, 50], [40, -24], [19, 7], [-15, 12], [45, 31], [15, 17], [-33, -44], [-7, -41], [50, -28], [38, -31], [34, -27], [-25, 50], [40, 8], [-31, 6], [-37, -7], [-35, -47], [17, 35], [23, 45], [-29, -36], [-47, -47], [-33, 7], [15, -32], [46, 38], [-4, 30], [33, 38], [-18, 13], [17, 9], [23, 35], [-16, 39], [-47, -14], [-21, 18], [-34, 32], [33, -7], [46, 32], [-8, -16], [-39, 8], [20, 34], [9, -45], [21, 20], [39, -46], [-28, 11], [16, -49], [-31, -11], [36, 9], [-11, 33], [-23, -7], [34, 43], [18, -21], [50, -8], [-9, 48], [-23, -17], [47, 40], [25, -15], [40, -28], [19, -41], [-26, 31], [-50, 41], [-46, -3], [-23, 41], [-43, 35], [17, -42], [-15, 37], [-5, -41], [19, -22], [43, 26]]"
3,2,50,100,UNSAT,"[[27, 45], [50, -7], [-20, 8], [-32, -13], [-19, -35], [20, -14], [16, 34], [-24, -17], [-35, 40], [15, -14], [-42, -2], [18, 30], [12, -13], [-35, 26], [5, 27], [-41, -37], [12, -8], [-12, -4], [8, 16], [-2, -12], [49, -19], [-2, 35], [6, 29], [-41, 31], [15, -1], [40, -14], [-45, 3], [-34, -31], [-19, 42], [22, 19], [-17, 48], [43, 17], [-1, -11], [47, 18], [8, 23], [48, 23], [-16, -15], [45, -6], [-21, 8], [-41, -18], [-25, 28], [2, 42], [-41, 27], [5, 14], [49, -47], [24, 48], [-33, -4], [20, 27], [16, 41], [9, -33], [23, 23], [22, 12], [12, -3], [50, 50], [-29, 16], [-7, 30], [11, 34], [-29, 43], [3, -34], [-5, -20], [-37, 11], [-12, 42], [13, -6], [-46, -11], [32, -30], [30, -12], [36, -37], [-22, 42], [3, 43], [44, -32], [2, 26], [34, 45], [-44, -32], [21, 4], [-16, 27], [-30, -21], [7, 49], [-32, 12], [-42, -18], [-40, 2], [-30, 47], [8, 38], [10, -22], [35, -47], [-39, -26], [-8, 14], [-49, 48], [30, 1], [-31, 35], [-23, -47], [-17, -23], [45, 44], [-2, -50], [-25, 15], [20, 22], [-18, -32], [-22, -30], [-21, 11], [33, 15], [-13, 40]]"
4,2,50,100,UNSAT,"[[21, 42], [16, -30], [-20, 15], [-45, 37], [-19, 6], [-48, 38], [-4, -28], [35, 30], [42, -13], [47, 35], [20, 50], [-34, -4], [38, -50], [14, 3], [-41, 12], [41, -45], [44, 40], [39, 42], [-23, -39], [8, -31], [15, 33], [-13, 40], [6, -25], [47, -44], [-37, -29], [15, -28], [-23, 28], [-50, -8], [17, 20], [-37, -40], [-38, 44], [-21, 16], [40, -50], [-12, -42], [-6, -43], [8, 16], [30, 50], [27, 20], [1, 26], [-14, -44], [-16, 27], [49, 37], [-16, -6], [-7, -40], [-46, -18], [15, -16], [50, 13], [-6, 1], [-38, -18], [13, 27], [-37, -11], [2, -15], [-33, -1], [25, -26], [-46, 42], [-29, 12], [-36, 36], [22, -28], [24, 38], [-39, 49], [-50, -13], [26, 9], [-22, 19], [50, 27], [-28, 22], [-24, 16], [-1, -34], [-46, -30], [4, -27], [-12, 36], [48, 42], [-35, 15], [7, 19], [6, 25], [-28, 18], [-15, -7], [9, -33], [-5, -7], [27, 5], [18, 13], [33, -50], [-17, 32], [-25, 16], [29, 30], [-42, 27], [-2, -33], [30, -37], [45, 5], [-16, 12], [44, 20], [-50, -15], [1, 19], [23, 2], [-10, -28], [9, 18], [44, 50], [10, 31], [-20, -30], [-2, 24], [44, -1]]"
5,2,50,100,UNSAT,"[[-37, 41], [-46, -7], [-19, 18], [-45, 20], [38, -4], [-43, -8], [-7, 22], [-35, 45], [6, 13], [-13, 27], [41, 28], [-12, 13], [6, 44], [-6, -31], [42, 15], [-15, 14], [38, -39], [-50, 37], [28, 25], [1, -26], [22, -15], [48, -13], [9, -28], [-12, 18], [-21, -43], [-35, 10], [20, 20], [-39, -38], [19, 48], [35, -12], [-34, 13], [-39, -46], [12, -26], [-10, -40], [47, 15], [-47, -4], [-41, -10], [40, -11], [-14, 26], [-32, 16], [50, -33], [2, 48], [-13, -16], [26, 36], [-8, -7], [36, 45], [16, -45], [9, -20], [-26, -10], [24, 49], [27, -17], [41, -48], [-22, -17], [13, 42], [-43, -29], [9, -47], [19, 11], [14, 13], [26, -28], [46, -36], [9, -18], [-1, 31], [36, -40], [-11, 15], [-23, -29], [-29, 49], [-8, -34], [46, 43], [5, 4], [32, -29], [-43, 31], [-32, -3], [-4, 17], [44, -40], [7, 38], [31, 44], [-13, -19], [-24, 14], [-38, 33], [38, -26], [-20, 8], [36, -39], [-14, 12], [-31, 26], [-48, 43], [-17, 26], [6, -46], [-31, -26], [-29, 15], [39, 47], [-4, 4], [43, -33], [-21, -1], [-43, 29], [-8, -3], [20, -42], [27, 42], [-10, 8], [23, 2], [-17, -12]]"
6,2,50,100,UNSAT,"[[32, -5], [30, -45], [42, 2], [-3, 23], [35, 26], [-8, 21], [-16, -33], [48, -35], [-26, 48], [36, -19], [-37, -13], [-49, -15], [50, -16], [-49, -30], [45, 45], [45, 6], [3, 18], [-23, 4], [49, 30], [-25, -34], [-8, -18], [29, 43], [-24, -44], [33, 13], [-1, -18], [19, 29], [-25, -31], [25, -37], [-22, -32], [-36, -26], [42, 33], [-24, -49], [-40, -46], [17, 16], [37, 43], [-30, -38], [-5, 14], [1, -35], [21, -46], [-8, 33], [-7, 31], [-23, -5], [-21, 28], [-10, 6], [-32, -45], [30, 27], [-1, -34], [-40, 32], [-21, 16], [13, 13], [-47, -29], [49, 28], [-30, 41], [5, 10], [16, 42], [3, 10], [-18, 32], [21, 29], [-38, -12], [-43, 21], [-48, 38], [-27, 32], [-32, 21], [-24, 22], [45, -21], [13, 40], [42, 27], [27, 45], [-42, -10], [-2, 41], [19, -2], [16, -34], [7, 28], [24, -5], [-9, 13], [26, -4], [-41, -22], [21, -31], [25, 18], [-6, -6], [25, -18], [29, 42], [30, -30], [4, 24], [-24, 9], [-19, 49], [29, -15], [-1, 30], [40, 2], [18, 11], [47, 26], [14, -43], [4, -49], [-37, 47], [8, -4], [-37, 36], [-33, 34], [-29, 11], [8, 32], [1, -10]]"
7,2,50,100,UNSAT,"[[-17, -22], [45, 24], [32, -28], [-41, -28], [-40, 19], [-50, 39], [-8, -23], [-22, 34], [-32, -4], [-30, -31], [-30, -38], [38, 43], [27, -23], [-40, -26], [-38, -18], [31, -28], [44, 15], [-19, -13], [-43, -23], [47, -39], [29, 23], [-3, -16], [25, -49], [-49, 31], [-32, 14], [-42, -3], [-38, 22], [-18, 33], [23, 20], [-5, -21], [-15, -5], [10, 42], [-43, -24], [28, 8], [38, -35], [-28, -38], [-33, -16], [-21, 50], [14, -13], [35, -50], [30, 6], [-40, -10], [-14, -46], [-49, 4], [35, 9], [-21, 48], [28, 9], [1, -42], [45, -46], [-27, -45], [-18, 12], [-3, 36], [-5, 25], [27, 31], [-8, -48], [-10, -33], [22, 44], [-35, -37], [-37, -11], [37, -12], [-6, 2], [-33, -4], [28, -39], [29, -38], [-17, -20], [-23, 5], [-28, -50], [2, 30], [45, 18], [24, 46], [31, -4], [-28, -34], [28, 22], [-50, -10], [-23, -2], [47, 38], [-34, -45], [13, -44], [39, 14], [18, -37], [-22, -29], [17, -30], [12, -21], [-33, 2], [-7, 35], [-18, 25], [-22, -1], [40, -49], [-22, 47], [41, 26], [-50, 6], [48, 18], [-24, -12], [-20, -21], [36, -31], [-29, -22], [43, 37], [47, 35], [33, 28], [-26, 41]]"
8,2,50,100,UNSAT,"[[-9, 12], [43, -25], [-30, -20], [48, 36], [-35, -40], [40, -38], [15, 31], [45, 2], [20, 21], [-23, 17], [3, 17], [28, 32], [-21, 27], [39, 48], [9, -38], [17, -26], [19, -41], [-7, -2], [48, -10], [49, -22], [-50, -29], [2, -41], [-22, 38], [30, 49], [1, 30], [-15, -42], [38, 41], [41, -40], [29, 17], [-1, 31], [49, -4], [24, 46], [-7, 20], [-39, -1], [-26, 25], [-46, -3], [-39, -3], [-49, 1], [-10, 36], [-42, -12], [-38, 35], [-22, 46], [8, 13], [-44, 12], [41, -43], [1, -37], [18, 48], [45, 5], [10, -41], [27, 27], [-25, 50], [-31, 6], [-37, 24], [47, 9], [40, -24], [-2, -25], [29, -37], [-2, -1], [37, -39], [4, 23], [9, -11], [47, 13], [33, -28], [13, 3], [-48, 2], [12, 4], [29, 6], [15, -3], [31, 25], [-14, 7], [32, 23], [50, -2], [35, -49], [-1, 26], [-27, -42], [21, 25], [9, -23], [36, -49], [17, 17], [2, -44], [-38, 21], [46, 28], [-45, -31], [-43, 30], [-46, 1], [29, 39], [-11, 32], [49, -22], [-25, 11], [14, -3], [41, -39], [10, -9], [47, 22], [33, -15], [-38, -3], [4, 10], [17, 19], [44, -35], [19, -3], [36, -27]]"
9,2,50,100,UNSAT,"[[-26, -4], [-9, -21], [-18, -10], [28, -20], [10, -38], [26, -26], [-40, 7], [32, 3], [3, 40], [-9, -25], [9, 26], [-45, 41], [21, 2], [8, -30], [-9, -14], [16, 45], [-44, 1], [8, 35], [36, -22], [-40, 45], [-26, -32], [47, -25], [-29, 35], [39, -38], [-3, -7], [-26, -47], [38, -43], [39, -19], [-28, 27], [45, -40], [18, 50], [17, -30], [24, -39], [-1, -41], [19, -31], [-25, 33], [-4, 11], [-21, -26], [-37, 17], [46, 31], [-46, 30], [23, -35], [-24, 10], [26, -26], [-37, 31], [-6, 22], [-31, 8], [11, -30], [-31, -3], [-6, -12], [7, 42], [-4, -21], [47, -33], [49, 18], [1, 50], [11, 17], [43, -4], [44, 45], [18, 45], [17, 19], [-32, 3], [46, 25], [-35, -5], [9, -31], [37, 19], [-1, 40], [22, -24], [-8, -29], [-25, 3], [-31, 23], [5, 43], [-42, 49], [43, 31], [20, -17], [21, -11], [23, 36], [26, 8], [-50, 40], [-44, -31], [12, -7], [5, 13], [-16, 29], [2, 30], [-45, -17], [16, 34], [-22, 39], [3, 49], [-7, 40], [-7, -23], [14, 27], [41, -4], [48, -7], [-22, -47], [23, -9], [-50, 26], [47, 16], [-3, 7], [-25, -43], [-21, 7], [46, -18]]"
